

[194.27533; 252.16338; 15.29633; -1.4784952]    1.07495
[202.01942; 243.26234; -0.57022542; 17.724714]    1.25633
[118.22403; 209.37975; -6.5639296; 31.550266]    0.774284
[192.73021; 187.02736; 3.9618192; -49.546913]    0.7629
[215.59521; 281.74048; 22.164377; -9.7092772]    1.02735
[278.81848; 236.43451; -6.7049413; -19.87645]    1.0079
[277.95999; 232.34703; 0.94561189; 12.932256]    1.01925
[227.27895; 236.77101; 11.268262; 25.732687]    1.39242
[254.8508; 193.62654; -28.785036; 3.9532712]    0.739791
[227.82748; 292.98676; -11.976169; -13.575563]    0.989295
[216.32619; 246.40387; -8.2845068; -10.645001]    1.33829
[242.67223; 213.82642; -12.355469; 13.594822]    1.15928
[169.86714; 178.98418; -5.3398142; -11.594995]    0.36519
[235.99599; 253.13795; -20.37216; 38.840706]    1.19928
[195.97711; 214.64474; 9.5402737; 5.3406925]    1.12897
[205.41742; 295.02057; -12.542141; 6.6865115]    0.896247
[255.88324; 254.96172; -5.1287088; -20.579058]    0.941486
[264.59619; 210.59087; 8.8977118; 25.727156]    0.884195
[273.47675; 192.41133; -9.7919073; 11.655639]    0.521824
[205.81433; 205.4935; -25.96837; 19.896065]    1.1355
[176.14148; 238.81139; -7.6219902; 28.334656]    1.04324
[229.20847; 227.76021; -11.470528; -15.377907]    1.38457
[230.43167; 231.41353; 1.2092909; -0.72148365]    1.38367
[247.85524; 216.1606; -3.1496599; -43.043903]    1.1244
[244.54784; 220.92813; -4.2122793; -29.298538]    1.20789
